Airline ID,Flight Number,Departure Date/Time,Arrival Date/Time,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (Hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,flag_status
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,Bqlf,Name_Banul,Seattwv,Economy,436.12,Meal,3649,Cancelled,Gatezn,A,Claimjlo,8.06,1,Locwfq,Typeruh,Pilot_Eyzh,Crew_Dgal,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,1
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,Bzil,Name_Kanhr,Seatigs,Economy,965.8,No Extras,2598,Pending,Gatemh,D,Claimclj,6.68,1,Locggr,Typesrc,Pilot_Okty,Crew_Vndx,No,Vegetarian,Not Available,False,False,False,2,No,0
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,Bqpb,Name_Ecvfx,Seatjuh,Economy,329.94,Meal,0,Pending,Gateuu,C,Claimmps,9.48,1,Loclxb,Typelsa,Pilot_Uqzr,Crew_Pkjb,No,Vegan,Available,False,False,True,0,No,0
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,Brpj,Name_Ueuyb,Seatuuc,Economy,165.07,Meal,0,Confirmed,Gatehx,A,Claimuto,1.98,0,Locoga,Typepnz,Pilot_Olhe,Crew_Ahun,No,Vegetarian,Not Available,False,True,False,0,Yes,6
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,Bsdg,Name_Cdwza,Seatlty,Business,491.32,Meal,0,Cancelled,Gatexu,B,Claimiky,8.45,0,Locwvx,Typedlg,Pilot_Djhp,Crew_Dzum,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,5
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,Bpsw,Name_Pszwh,Seatyps,First,533.31,Meal,0,Confirmed,Gateep,B,Claimhcr,6.4,2,Locbxp,Typeeny,Pilot_Mqap,Crew_Simt,Yes,Non-Vegetarian,Available,False,True,False,2,Yes,4
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,Beew,Name_Bcngm,Seatuhu,Business,438.34,Meal,0,Pending,Gatesu,C,Claimzga,7.97,0,Locemt,Typevrd,Pilot_Pkti,Crew_Mxgp,No,Non-Vegetarian,Not Available,True,True,True,0,No,7
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,Bwgy,Name_Gpcze,Seatglp,Economy,798.54,Extra Baggage,704,Cancelled,Gatehm,D,Claimegr,10.95,1,Loczzn,Typewrc,Pilot_Byqb,Crew_Tgma,Yes,Vegan,Not Available,False,True,False,0,Yes,2
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,Bqac,Name_Wcxot,Seatjcr,First,519.29,Meal,0,Cancelled,Gatedt,D,Claimrpx,8.9,1,Locjio,Typewyu,Pilot_Mirc,Crew_Fmop,No,Vegetarian,Available,True,True,True,2,Yes,1
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,Bpvb,Name_Kwrev,Seatrky,Economy,340.43,No Extras,0,Pending,Gateol,C,Claimlpl,2.4,2,Locwuw,Typetso,Pilot_Oqnz,Crew_Ptqn,Yes,No Meal,Not Available,True,True,False,0,Yes,7
